FIPS,State,County,PCT_LACCESS_POP,PCT_LACCESS_LOWI,PCT_LACCESS_CHILD,PCT_LACCESS_SENIORS,PCT_LACCESS_HHNV
1001,AL,Autauga,32.06225475,11.991125,8.460485386,3.996278765,3.351331631
1003,AL,Baldwin,16.76748933,5.424426597,3.844936041,3.061840062,1.905114466
1005,AL,Barbour,22.10556007,10.73966657,3.758341321,3.001694513,4.329378079
1007,AL,Bibb,4.230324421,2.601627008,1.015241851,0.600865071,2.821427444
1009,AL,Blount,6.497380137,2.880149823,1.58872006,0.882583096,3.336414144
1011,AL,Bullock,37.95034236,19.74335074,5.650681601,5.190941491,11.10444061
1013,AL,Butler,6.226804584,2.926121931,1.260992579,1.216251206,3.770678378
1015,AL,Calhoun,23.43385181,9.178566583,5.201704017,3.757474335,2.60989548
1017,AL,Chambers,20.84321414,10.32855828,4.662732281,3.701398436,5.24080289
1019,AL,Cherokee,0.398331982,0.2211124,0.072136677,0.053018598,2.822199537
1021,AL,Chilton,3.368006577,1.460530961,0.772288622,0.564706257,3.87190946
1023,AL,Choctaw,19.50281549,7.290419052,4.023045452,3.267771594,7.211671047
1025,AL,Clarke,22.11483889,11.1547123,5.896632408,3.261690702,9.129547508
1027,AL,Clay,4.613414585,2.32687988,1.028049402,0.785236852,3.40192308
1029,AL,Cleburne,5.27341132,2.07171577,1.259161572,0.748562982,3.552265349
1031,AL,Coffee,20.99400573,5.98120314,5.144449659,2.208955804,2.737130888
1033,AL,Colbert,20.38595264,6.551704535,4.790221906,3.432093742,2.995959836
1035,AL,Conecuh,26.90020744,13.22977626,5.253773645,5.667538576,5.789568183
1037,AL,Coosa,24.51625213,10.12480749,4.336999536,4.895999954,5.844221713
1039,AL,Covington,9.980464049,4.370326751,2.07591947,1.92933503,3.300127
1041,AL,Crenshaw,37.96178978,17.03906038,9.192671846,5.455149518,4.438704255
1043,AL,Cullman,7.33809691,3.10960625,1.782276817,1.263053349,3.298245805
1045,AL,Dale,27.933713,10.55938033,8.246732551,2.715721724,3.065504847
1047,AL,Dallas,17.43509098,11.55627093,4.431511993,2.845549682,5.794713908
1049,AL,DeKalb,3.768654688,2.166964609,1.251612404,0.363179402,2.756660319
1051,AL,Elmore,18.99596054,6.943021714,4.048963833,1.933192832,3.467339217
1053,AL,Escambia,13.2017417,7.219940028,3.136732646,2.20185604,4.009301137
1055,AL,Etowah,22.30185466,9.400616626,4.72375356,4.350987468,3.23626668
1057,AL,Fayette,2.362895151,1.354458699,0.526259486,0.414015066,6.266506819
1059,AL,Franklin,11.55514048,4.120619394,2.897740583,1.566873031,3.712810354
1061,AL,Geneva,2.259027229,0.930784798,0.503546013,0.348575211,2.320170127
1063,AL,Greene,32.75833067,21.34247572,7.972493405,5.257263689,8.343311726
1065,AL,Hale,11.83084613,4.647506988,2.718869413,1.871753481,9.596338241
1067,AL,Henry,4.655371795,2.14216797,0.8482048,1.011658203,4.541688785
1069,AL,Houston,18.06134011,6.282605938,4.417500651,2.443983911,2.241495081
1071,AL,Jackson,7.926365826,3.272510542,1.80611402,1.225476131,3.51383692
1073,AL,Jefferson,31.23287577,12.27159061,7.575607913,3.944113475,2.742853707
1075,AL,Lamar,1.578911098,0.75067659,0.360368005,0.260806646,3.908833435
1077,AL,Lauderdale,13.45726597,5.038074088,2.741490224,2.185749808,3.219811078
1079,AL,Lawrence,4.799919493,2.122488173,1.166948855,0.725839312,3.465288182
1081,AL,Lee,26.26500879,12.24950372,5.382310367,1.914240283,2.279176288
1083,AL,Limestone,11.28194737,3.518353856,2.061040867,1.716895392,2.667996321
1085,AL,Lowndes,22.4786653,13.06214495,6.294810846,3.138164179,10.47489001
1087,AL,Macon,37.52927142,21.63866443,8.003133132,4.923308168,10.47565441
1089,AL,Madison,26.44597413,7.467345123,6.330115118,2.935312513,1.733899194
1091,AL,Marengo,24.37345136,12.62897065,5.978626487,3.980894807,6.731829491
1093,AL,Marion,6.269273851,3.254542626,1.381476838,1.195300519,4.232911072
1095,AL,Marshall,11.27167399,5.187505411,3.074623697,1.420854639,3.172932646
1097,AL,Mobile,25.12606624,10.2659253,6.386688535,3.313877222,2.049897305
1099,AL,Monroe,24.76001675,12.83952666,6.142423392,4.068929864,8.979837313
1101,AL,Montgomery,28.85411116,14.57214106,7.706013658,2.98371183,3.134753697
1103,AL,Morgan,12.98374724,4.084201812,3.282076709,1.830147466,2.081615092
1105,AL,Perry,8.323571678,4.885117508,1.503706324,2.054935872,8.853715303
1107,AL,Pickens,2.679725717,0.89215884,0.522590317,0.497201141,5.962544691
1109,AL,Pike,13.78612462,6.304344574,3.067523536,1.512726301,4.262256912
1111,AL,Randolph,14.72801232,6.815483083,3.535657063,2.291867952,4.994608169
1113,AL,Russell,11.75865619,5.546703228,2.749096076,1.755077922,2.842972239
1115,AL,St. Clair,5.457203496,1.567858407,1.311555276,0.714973948,2.161321982
1117,AL,Shelby,24.15476247,4.302479799,6.373549223,2.663068869,1.834676011
1119,AL,Sumter,16.74435355,10.37288563,3.935791814,2.938154485,10.5446891
1121,AL,Talladega,13.41384507,5.854664594,3.107431267,1.890217993,3.903612536
1123,AL,Tallapoosa,8.373536279,4.324954396,1.812227708,1.658367384,6.270150241
1125,AL,Tuscaloosa,17.9082999,6.494042565,3.928673414,2.013475413,1.859899042
1127,AL,Walker,11.72531766,5.210069744,2.648828014,1.733846998,4.498501103
1129,AL,Washington,8.411904598,3.583565886,2.264984955,1.305374505,4.07058085
1131,AL,Wilcox,42.82029621,30.46474603,11.45350637,6.397996583,13.32527101
1133,AL,Winston,5.959127003,2.655012846,1.353212065,1.074236611,4.006180092
2013,AK,Aleutians East,70.13690004,34.93750965,7.004138688,3.12002544,21.93798279
2016,AK,Aleutians West,22.35621387,8.574047789,3.758949678,1.370470729,11.5099696
2020,AK,Anchorage,27.42720787,5.113838821,7.034058975,1.859974179,0.925676659
2050,AK,Bethel,67.62395515,41.98759872,25.64819792,4.491107709,53.51506659
