FIPS,State,County,PCT_LOCLFARM,FMRKT,PCT_FMRKT_SNAP,PCT_FMRKT_WIC,PCT_FMRKT_WICCASH,PCT_FMRKT_SFMNP,PCT_FRMKT_FRVEG,PCT_FRMKT_ANMLPROD,VEG_FARMS,VEG_ACRES,ORCHARD_FARMS,ORCHARD_ACRES,BERRY_FARMS,BERRY_ACRES,SLHOUSE,FOODHUB,FARM_TO_SCHOOL
1001,AL,Autauga,13.11053985,1,0,0,0,0,100,0,45,1230,25,402,5,5,0,0,0
1003,AL,Baldwin,10.41456016,4,0,0,0,100,75,100,50,1958,228,3361,41,93,1,0,0
1005,AL,Barbour,2.276707531,4,50,0,0,50,50,0,7,41,58,799,5,42,0,0,1
1007,AL,Bibb,6.878306878,1,0,0,0,0,0,0,11,14,4,13,2,,0,0,0
1009,AL,Blount,7.0910556,1,0,100,0,100,100,100,64,677,28,176,25,38,0,0,1
1011,AL,Bullock,4.395604396,1,0,0,0,0,0,0,8,70,30,656,0,0,0,0,0
1013,AL,Butler,7.616707617,2,0,0,0,50,50,0,23,105,27,497,2,,0,0,0
1015,AL,Calhoun,8.445945946,2,50,0,0,100,100,100,15,26,21,91,13,12,2,0,0
1017,AL,Chambers,7.3089701,1,0,0,0,0,100,0,8,51,7,150,5,5,0,0,0
1019,AL,Cherokee,2.495543672,1,0,0,0,100,100,0,4,,7,34,2,,0,0,1
1021,AL,Chilton,10.68139963,0,,,,,,,45,463,59,1655,20,28,1,0,0
1023,AL,Choctaw,5.64516129,1,0,0,0,0,0,0,14,59,7,64,0,0,0,0,0
1025,AL,Clarke,6.844106464,2,50,0,0,100,100,50,16,71,7,50,0,0,0,0,0
1027,AL,Clay,2.743142145,2,0,0,0,0,0,0,9,23,6,20,9,18,1,0,0
1029,AL,Cleburne,4.105571848,1,0,0,0,100,100,100,10,27,11,72,10,9,0,0,0
1031,AL,Coffee,4.115684093,1,0,0,0,100,100,100,16,81,51,519,10,25,1,0,1
1033,AL,Colbert,3.784570597,3,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,11,58,12,72,0,0,0,0,1
1035,AL,Conecuh,3.757225434,1,0,0,0,100,100,100,12,90,21,116,1,,0,0,1
1037,AL,Coosa,11.84210526,0,,,,,,,8,,2,,8,17,0,0,0
1039,AL,Covington,3.520456708,2,0,0,0,0,0,0,20,55,65,1287,8,11,1,0,1
1041,AL,Crenshaw,2.434782609,1,0,0,0,0,0,0,12,42,20,247,2,,0,0,0
1043,AL,Cullman,3.687095167,1,100,0,0,100,100,100,66,1094,21,150,14,14,3,0,1
1045,AL,Dale,4.722792608,2,0,0,0,50,50,50,11,,51,453,8,5,0,0,1
1047,AL,Dallas,3.95256917,1,100,100,100,100,100,100,26,416,17,304,2,,1,0,1
1049,AL,DeKalb,3.734643735,2,0,0,0,0,0,0,35,799,14,44,13,15,1,0,0
1051,AL,Elmore,7.246376812,2,0,0,0,50,50,0,29,149,33,202,20,23,0,0,1
1053,AL,Escambia,5.066079295,3,0,0,0,0,0,0,16,38,13,163,4,7,0,0,0
1055,AL,Etowah,5.275498242,3,0,0,0,66.66666667,66.66666667,33.33333333,29,224,14,59,5,9,4,0,0
1057,AL,Fayette,6.038647343,1,0,0,0,0,0,0,22,92,5,305,1,,0,0,0
1059,AL,Franklin,2.909090909,2,50,0,0,50,50,50,22,51,1,,2,,1,0,1
1061,AL,Geneva,4.326450344,0,,,,,,,37,528,56,433,13,28,1,0,1
1063,AL,Greene,7.565789474,2,0,0,50,50,0,0,21,64,5,13,5,7,1,0,
1065,AL,Hale,4.385964912,1,0,0,0,0,100,0,19,118,2,,1,,1,0,0
1067,AL,Henry,2.81124498,2,0,0,0,0,0,0,8,17,28,315,6,23,0,0,
1069,AL,Houston,4.901960784,3,0,0,0,100,100,33.33333333,27,3950,56,293,8,102,0,0,1
1071,AL,Jackson,5.159883721,1,0,0,0,0,0,0,24,423,18,48,11,27,0,0,0
1073,AL,Jefferson,14.97461929,17,23.52941176,5.882352941,0,35.29411765,58.82352941,35.29411765,14,59,7,14,9,16,0,0,1
1075,AL,Lamar,3.966005666,1,0,0,0,0,0,0,22,34,8,22,0,0,0,0,0
1077,AL,Lauderdale,3.615279673,1,0,0,0,0,0,0,33,96,17,25,13,22,1,0,0
1079,AL,Lawrence,2.643455835,1,100,100,0,100,100,100,16,76,13,42,2,,1,0,0
1081,AL,Lee,5.079365079,4,25,0,25,0,50,25,9,18,21,141,6,,0,0,1
1083,AL,Limestone,5.691056911,1,0,0,0,0,100,100,12,81,8,,6,7,0,0,1
1085,AL,Lowndes,3.628117914,1,0,0,0,0,0,0,13,60,5,,0,0,0,0,1
1087,AL,Macon,9.659090909,1,0,0,0,100,100,100,18,73,30,598,7,3,0,0,0
1089,AL,Madison,7.647628267,7,42.85714286,42.85714286,0,57.14285714,71.42857143,71.42857143,32,100,20,64,13,11,0,1,1
1091,AL,Marengo,3.006012024,3,0,0,0,0,0,0,20,84,3,15,1,,1,0,0
1093,AL,Marion,2.797202797,2,0,0,0,50,50,0,19,38,7,22,4,1,0,0,0
1095,AL,Marshall,3.455149502,3,0,0,0,33.33333333,66.66666667,66.66666667,24,55,18,70,11,9,3,0,1
1097,AL,Mobile,12.75071633,5,0,0,0,20,20,0,47,333,113,2104,18,49,2,0,1
1099,AL,Monroe,2.916666667,2,0,0,0,0,0,0,6,30,23,339,2,,0,0,0
1101,AL,Montgomery,4.64344942,3,0,0,0,33.33333333,33.33333333,33.33333333,18,74,25,527,5,6,2,0,1
1103,AL,Morgan,3.637833468,3,33.33333333,33.33333333,0,33.33333333,66.66666667,66.66666667,30,108,20,119,7,7,3,0,1
1105,AL,Perry,3.856041131,1,0,100,0,100,100,0,20,80,12,64,0,0,0,0,0
1107,AL,Pickens,4.387990762,2,0,0,0,100,100,0,15,87,3,7,3,5,0,0,0
1109,AL,Pike,2,1,0,0,0,100,100,0,7,8,35,593,2,,0,0,0
1111,AL,Randolph,3.109656301,2,50,0,0,50,100,100,23,62,5,5,5,5,0,0,0
1113,AL,Russell,5.357142857,1,0,0,0,0,0,0,13,75,6,176,4,9,0,0,0
1115,AL,St. Clair,5.555555556,1,0,0,0,100,100,0,28,491,9,67,11,50,1,0,0
1117,AL,Shelby,8.229426434,8,12.5,12.5,0,37.5,62.5,50,12,33,12,32,8,18,0,0,1
1119,AL,Sumter,3.738317757,1,0,0,0,0,0,0,19,76,2,,4,12,0,0,
1121,AL,Talladega,5.973025048,1,100,0,100,100,100,0,11,24,17,57,3,,0,0,1
1123,AL,Tallapoosa,5.217391304,1,0,0,0,100,100,100,10,19,15,183,15,89,0,0,0
1125,AL,Tuscaloosa,10.46277666,3,66.66666667,33.33333333,0,100,100,100,35,140,5,13,6,4,1,0,0
1127,AL,Walker,3.941908714,1,0,0,0,100,100,100,13,,9,17,8,9,0,0,1
1129,AL,Washington,5.660377358,1,0,0,0,0,0,0,16,46,7,33,3,,0,0,0
1131,AL,Wilcox,4.746835443,3,0,0,0,0,0,0,22,92,10,75,0,0,1,0,0
1133,AL,Winston,3.269230769,1,100,0,0,100,100,0,11,27,7,70,4,11,0,0,0
2013,AK,Aleutians East,,0,,,,,,,,,,,,,0,0,1
2016,AK,Aleutians West,,1,0,0,0,0,0,0,,,,,,,0,0,1
2020,AK,Anchorage,30.92783505,10,50,60,50,60,80,70,64,741,9,10,22,19,0,0,1
2050,AK,Bethel,,0,,,,,,,,,,,,,1,0,1
2060,AK,Bristol Bay,,0,,,,,,,,,,,,,0,0,1
2068,AK,Denali,,0,,,,,,,,,,,,,0,0,
2070,AK,Dillingham,,1,0,0,0,0,0,0,,,,,,,0,0,1
2090,AK,Fairbanks North Star,28.57142857,3,66.66666667,100,0,33.33333333,100,66.66666667,45,261,5,,15,11,0,0,1
2100,AK,Haines,,1,0,0,0,0,0,0,,,,,,,0,0,1
2105,AK,Hoonah-Angoon,,0,,,,,,,,,,,,,,0,1
2110,AK,Juneau,34.61538462,2,0,0,0,0,100,0,12,10,0,0,4,3,0,0,1
2122,AK,Kenai Peninsula,34.56790123,6,16.66666667,50,16.66666667,50,50,33.33333333,32,36,3,,9,7,0,1,1
2130,AK,Ketchikan Gateway,,0,,,,,,,,,,,,,0,0,0
2150,AK,Kodiak Island,,0,,,,,,,,,,,,,0,0,1
2164,AK,Lake and Peninsula,,0,,,,,,,,,,,,,0,0,
2170,AK,Matanuska-Susitna,,8,12.5,12.5,12.5,12.5,50,25,,,,,,,1,0,1
2180,AK,Nome,,0,,,,,,,,,,,,,0,0,1
2185,AK,North Slope,,0,,,,,,,,,,,,,0,0,
2188,AK,Northwest Arctic,,0,,,,,,,,,,,,,0,0,1
2195,AK,Petersburg,,0,,,,,,,,,,,,,0,0,1
2198,AK,Prince of Wales-Hyder,,0,,,,,,,,,,,,,0,0,0
2220,AK,Sitka,,1,100,100,100,0,100,100,,,,,,,0,0,1
2230,AK,Skagway,,0,,,,,,,,,,,,,0,0,0
2240,AK,Southeast Fairbanks,,1,0,100,0,100,100,100,,,,,,,0,0,1
2261,AK,Valdez-Cordova,,3,0,0,0,0,0,0,,,,,,,0,0,1
2270,AK,Wade Hampton,,0,,,,,,,,,,,,,0,0,1
2275,AK,Wrangell,,0,,,,,,,,,,,,,0,0,1
2282,AK,Yakutat,,0,,,,,,,,,,,,,0,0,0
2290,AK,Yukon-Koyukuk,,1,0,0,0,0,0,0,,,,,,,0,0,1
4001,AZ,Apache,2.325165444,1,0,0,0,0,0,0,627,2207,19,24,0,0,0,0,1
4003,AZ,Cochise,11.16193962,4,75,75,75,75,100,100,20,1068,182,9944,4,2,2,0,1
4005,AZ,Coconino,5.136221527,2,100,50,0,0,100,50,283,420,16,38,0,0,1,0,1
4007,AZ,Gila,8.717948718,2,50,100,0,100,100,100,2,,15,59,8,7,0,0,0
4009,AZ,Graham,6.067961165,1,0,100,100,100,100,100,4,510,46,,0,0,0,0,1
4011,AZ,Greenlee,8.805031447,0,,,,,,,0,0,18,77,6,,0,0,0
4012,AZ,La Paz,5.6,0,,,,,,,3,,1,,0,0,0,0,1
4013,AZ,Maricopa,8.793868495,39,43.58974359,46.15384615,43.58974359,38.46153846,71.79487179,64.1025641,72,12623,290,5444,5,,4,1,1
4015,AZ,Mohave,14.32835821,1,100,0,100,0,100,100,7,23,23,110,5,3,0,0,1
4017,AZ,Navajo,4.628185127,3,0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,732,889,25,31,0,0,0,0,0
4019,AZ,Pima,11.92982456,27,44.44444444,18.51851852,29.62962963,29.62962963,70.37037037,70.37037037,52,472,53,,2,,0,1,1
4021,AZ,Pinal,5.543710021,1,0,0,0,0,0,0,30,8593,59,3744,0,0,0,0,1
4023,AZ,Santa Cruz,11.44067797,5,20,20,20,20,20,20,11,12,27,209,0,0,0,0,1
4025,AZ,Yavapai,13.29787234,8,37.5,62.5,62.5,50,75,62.5,57,203,97,490,8,7,1,0,1
4027,AZ,Yuma,6.40569395,1,0,0,0,0,0,0,45,100294,265,17212,0,0,0,1,1
5001,AR,Arkansas,0.609756098,2,0,0,0,0,0,0,1,,6,291,1,,0,0,
5003,AR,Ashley,5.319148936,2,0,0,0,0,0,0,20,444,4,3,1,,0,0,0
