FIPS,State,County,GROC,SUPERC,CONVS,SPECS,SNAPS,WICS
1001,AL,Autauga,4,1,34,0,37.41666667,5
1003,AL,Baldwin,26,6,108,23,138.3333333,27
1005,AL,Barbour,5,1,19,3,34.83333333,7
1007,AL,Bibb,5,1,17,1,16.25,5
1009,AL,Blount,8,1,28,0,38,6
1011,AL,Bullock,2,0,3,1,14.33333333,2
1013,AL,Butler,3,1,18,0,27.25,4
1015,AL,Calhoun,26,3,83,1,137.9166667,19
1017,AL,Chambers,8,1,26,2,34.25,6
1019,AL,Cherokee,4,1,19,1,31,6
1021,AL,Chilton,7,1,37,4,46.75,7
1023,AL,Choctaw,3,0,16,0,16.33333333,3
1025,AL,Clarke,5,2,15,2,40.16666667,8
1027,AL,Clay,3,0,5,0,10.16666667,3
1029,AL,Cleburne,3,0,9,0,16.66666667,5
1031,AL,Coffee,6,1,28,0,37.5,8
1033,AL,Colbert,10,1,47,4,55.75,8
1035,AL,Conecuh,3,0,15,0,22.75,1
1037,AL,Coosa,1,0,10,0,5,1
1039,AL,Covington,8,1,36,3,48.75,9
1041,AL,Crenshaw,5,0,7,0,20.25,5
1043,AL,Cullman,13,1,50,4,77.5,11
1045,AL,Dale,10,1,32,0,36.58333333,8
1047,AL,Dallas,8,1,34,0,55.58333333,10
1049,AL,DeKalb,14,1,43,2,83.83333333,11
1051,AL,Elmore,10,2,51,1,65.75,10
1053,AL,Escambia,5,1,30,0,42.25,6
1055,AL,Etowah,15,2,65,3,101,17
1057,AL,Fayette,6,1,7,0,12.66666667,5
1059,AL,Franklin,7,1,19,1,30.75,7
1061,AL,Geneva,10,0,14,1,23.16666667,7
1063,AL,Greene,2,0,8,0,15.16666667,2
1065,AL,Hale,3,0,12,0,15.08333333,3
1067,AL,Henry,3,0,14,1,17.58333333,3
1069,AL,Houston,17,3,70,5,121,21
1071,AL,Jackson,11,1,43,1,55.08333333,11
1073,AL,Jefferson,106,19,459,33,551.5833333,94
1075,AL,Lamar,4,0,7,0,12.33333333,4
1077,AL,Lauderdale,20,2,51,1,80.66666667,16
1079,AL,Lawrence,5,1,22,1,27.16666667,6
1081,AL,Lee,16,3,75,2,88.08333333,15
1083,AL,Limestone,10,1,62,2,62.08333333,9
1085,AL,Lowndes,2,0,6,1,16.66666667,2
1087,AL,Macon,4,0,16,0,13,4
1089,AL,Madison,39,11,207,13,227.5833333,35
1091,AL,Marengo,4,1,20,0,25.58333333,6
1093,AL,Marion,3,2,21,1,22.83333333,7
1095,AL,Marshall,21,3,65,4,89.16666667,14
1097,AL,Mobile,57,8,235,28,463.3333333,55
1099,AL,Monroe,5,1,14,0,25.58333333,6
1101,AL,Montgomery,34,6,122,12,195.0833333,28
1103,AL,Morgan,18,2,105,5,100.3333333,18
1105,AL,Perry,4,0,6,0,18.75,4
1107,AL,Pickens,4,0,9,0,23.91666667,7
1109,AL,Pike,6,1,19,0,40.16666667,7
1111,AL,Randolph,3,1,16,1,18.16666667,4
1113,AL,Russell,10,1,34,1,52.83333333,11
1115,AL,St. Clair,12,3,57,0,65.83333333,12
1117,AL,Shelby,28,4,101,1,101.4166667,26
1119,AL,Sumter,3,0,19,0,16.91666667,5
1121,AL,Talladega,10,2,72,0,89.25,12
1123,AL,Tallapoosa,7,1,46,0,34.41666667,8
1125,AL,Tuscaloosa,23,4,104,4,152.1666667,22
1127,AL,Walker,10,2,53,1,62.41666667,10
1129,AL,Washington,2,0,8,0,17.33333333,4
1131,AL,Wilcox,8,0,10,0,21.08333333,6
1133,AL,Winston,8,0,22,0,25.41666667,7
2013,AK,Aleutians East,4,0,0,0,5,3
2016,AK,Aleutians West,4,0,1,0,5.416666667,3
2020,AK,Anchorage,35,12,60,17,116.25,25
2050,AK,Bethel,20,0,7,0,56.75,16
2060,AK,Bristol Bay,2,0,0,0,2,1
2068,AK,Denali,0,0,3,0,0,0
2070,AK,Dillingham,6,0,3,0,9,6
2090,AK,Fairbanks North Star,8,4,24,8,24.91666667,8
2100,AK,Haines,3,0,0,0,3,2
2110,AK,Juneau,6,3,7,4,13.16666667,5
2122,AK,Kenai Peninsula,15,2,25,9,34,11
2130,AK,Ketchikan Gateway,4,0,3,5,8,3
2150,AK,Kodiak Island,4,0,1,2,10.08333333,3
2164,AK,Lake and Peninsula,2,0,0,0,6.25,3
2170,AK,Matanuska-Susitna,10,3,22,5,36.58333333,8
2180,AK,Nome,16,0,1,0,28.58333333,18
2185,AK,North Slope,9,0,3,0,13,8
2188,AK,Northwest Arctic,7,0,3,0,19,14
2220,AK,Sitka,3,0,2,0,3.166666667,3
2105,AK,Hoonah-Angoon,5,0,0,1,7,2
2240,AK,Southeast Fairbanks,3,0,6,0,7,3
2261,AK,Valdez-Cordova,8,0,8,2,16.33333333,5
2270,AK,Wade Hampton,16,0,1,0,21.75,16
2195,AK,Petersburg,3,0,3,2,3,3
2282,AK,Yakutat,2,0,0,0,2,2
2290,AK,Yukon-Koyukuk,11,0,3,0,38.41666667,10
4001,AZ,Apache,8,0,41,0,59.5,30
4003,AZ,Cochise,16,3,59,5,101.3333333,16
4005,AZ,Coconino,20,3,80,9,77.5,23
4007,AZ,Gila,7,2,30,2,43.83333333,9
4009,AZ,Graham,6,1,17,1,25.25,5
4011,AZ,Greenlee,2,0,8,0,9.583333333,1
4012,AZ,La Paz,8,1,18,1,32.33333333,7
4013,AZ,Maricopa,493,94,980,191,2094.5,419
4015,AZ,Mohave,23,4,84,5,128.0833333,20
4017,AZ,Navajo,17,2,56,2,83.75,25
4019,AZ,Pima,121,13,318,47,586.5833333,87
4021,AZ,Pinal,26,6,72,9,157,30
4023,AZ,Santa Cruz,7,1,18,5,26.41666667,5
4025,AZ,Yavapai,39,5,77,13,135,22
